volcanonumber,volcanoname,stratovolcano,caldera,dome,shield,submarine,complex,lava_cone,pyroclastic_cone,compound,maar,explosion_crater,fissure_vent,subduction,rift,intraplate,continental,ctcrust1,elevation,volume,eruptionssince1960,avgrepose,mafic,intermediate,felsic,summit_crater,h_bw,ellip,meanslope
283010,izu-tobu,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,21.25,1406.0,,1.0,,1.0,1.0,0.0,0,,,
284090,izu-torishima,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.01,394.0,0.7,3.0,7617.666667,1.0,1.0,0.0,0,0.144,1.25,
376010,jan mayen,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8.96,2197.0,,3.0,16098.0,1.0,1.0,0.0,0,,,
261220,kaba,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33.0,1940.0,33.0,1.0,16218.0,0.0,1.0,0.0,1,0.074,1.32,10.4
251002,kadovar,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22.96,365.0,,1.0,,0.0,1.0,0.0,0,,,
284100,kaitoku seamount,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6.75,-95.0,,1.0,160957.0,1.0,1.0,0.0,0,,,
300010,kambalny,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,28.67,2116.0,25.2,1.0,243547.0,1.0,1.0,0.0,0,0.159,1.3,17.4
311110,kanaga,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.38,1307.0,4.3,3.0,8428.333333,1.0,1.0,0.0,0,0.238,1.84,24.3
272020,kanlaon,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,31.0,2435.0,138.0,21.0,1429.619048,0.0,1.0,0.0,0,0.1,1.25,12.9
267020,karangetang,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.36,1797.0,30.3,29.0,415.4137931,1.0,1.0,0.0,0,0.196,1.24,21.4
251030,karkar,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.5,1839.0,156.0,6.0,7121.833333,1.0,1.0,0.0,1,0.08,1.41,9.5
233010,karthala,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,15.91,2361.0,420.0,8.0,2304.125,1.0,1.0,0.0,1,0.083,2.29,11.0
300130,karymsky,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39.34,1513.0,1.52,11.0,772.0,0.0,1.0,0.0,0,0.204,1.24,18.4
311130,kasatochi,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.5,314.0,0.5,1.0,90554.0,1.0,1.0,0.0,1,0.108,1.35,19.6
255060,kavachi,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,29.17,-20.0,,26.0,781.3461538,1.0,1.0,0.0,0,,,
264140,kelimutu,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,28.9,1639.0,3.2,1.0,10946.0,1.0,1.0,0.0,0,0.075,2.0,14.8
263280,kelut,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.0,1731.0,32.0,6.0,3766.166667,1.0,1.0,0.0,0,0.074,1.43,12.9
261170,kerinci,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.99,3800.0,46.3,24.0,952.0833333,0.0,1.0,0.0,0,0.18,1.2,18.5
290200,ketoi,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18.38,1172.0,20.5,1.0,13418.0,1.0,1.0,0.0,0,0.123,1.27,17.6
360160,kick 'em jenny,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20.82,-185.0,,11.0,2096.454545,1.0,0.0,0.0,0,,,
282060,kikai,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27.79,704.0,,12.0,2466.75,1.0,1.0,1.0,0,,,
332010,kilauea,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,18.5,1222.0,,30.0,297.3333333,1.0,0.0,0.0,0,,,
282090,kirishimayama,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,30.0,1700.0,104.0,8.0,2635.375,1.0,1.0,0.0,0,0.068,1.59,11.5
311020,kiska,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15.31,1220.0,12.7,4.0,3450.0,1.0,1.0,0.0,0,0.168,1.66,20.1
300230,kizimen,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,32.67,2334.0,5.8,1.0,30250.0,1.0,1.0,0.0,0,0.209,1.51,20.0
300260,klyuchevskoy,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,33.65,4754.0,48.0,41.0,280.195122,1.0,1.0,0.0,0,0.19,1.24,19.8
290120,kolokol group,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.22,1328.0,19.3,2.0,3917.0,0.0,1.0,0.0,0,0.113,1.42,19.1
311161,korovin,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,19.32,1518.0,11.3,7.0,5191.428571,1.0,1.0,0.0,1,0.179,1.33,21.2
300090,koryaksky,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40.67,3430.0,40.2,1.0,18818.0,1.0,1.0,0.0,0,0.22,1.51,22.4
373080,krafla,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22.6,800.0,,6.0,14436.5,1.0,1.0,1.0,0,,,
262000,krakatau,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29.81,155.0,,22.0,742.0,1.0,1.0,0.0,0,,,
252070,krummel-garbuna-welcker,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27.0,564.0,14.5,3.0,226240.0,1.0,1.0,0.0,0,0.078,1.64,11.6
